title,sinopse,produção,genero,data-lancamento,image
Gaby Estrella,"
	A jovem cantora Gaby Estrella está perdendo espaço no cenário musical para a concorrente Natasha. Para voltar às paradas de sucesso, a menina vai precisar voltar às suas origens na cidade de interior Vale Mirim. Lá, Gaby vai ter que se acostumar novamente com a vida na fazenda.",Chatrone,Infantil,18/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Gaby%20Estrella.jpg?itok=ZkGSOovz
Como você me vê?,"
	O filme mostra uma realidade que as massas não conhecem e explora as questões que permeiam a profissão do ator no Brasil quando separada do glamour, formando um mosaico diversificado e compreensivo de um país com tantas contradições.",Bond's Filmes,Documentário,18/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Como%20voce%20me%20ve.jpeg?itok=OxOu4U7P
Peixonauta - O Filme,"
	Quando o Dr. Jardim não retorna da cidade, Peixonauta, Marina e Zico partem para resgatá-lo. Mas quando chegam lá, algo muito estranho está acontecendo: todos na cidade sumiram! Para conseguir solucionar esse mistério, Peixonauta terá que contar com a ajuda de todos os seus amigos.",Tv Pinguim,Animação,25/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Peixonauta.jpg?itok=Ls-uMx4S
Saudade,"
	O filme investiga o significado da palavra saudade em viagens por países de língua portuguesa.",99 Produções,Documentário,18/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Saudade.jpg?itok=AhLRMzN6
Pela Janela,"
	Rosália é uma operária que dedicou a vida ao trabalho em um fábrica de reatores da periferia de São Paulo. Quando é demitida, seu irmão a consola e ele resolve levá-la em uma viagem de carro até Buenos Aires. No país vizinho, Rosália vê pela primeira vez um mundo desconhecido e distante de sua vida cotidiana. ",Dezenove Som e Imagens,Drama,18/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Pela%20Janela.jpg?itok=H9rwwVE1
Encantados,"
	Zeneida é filha de um importante político do Pará e, dentre os seus irmãos, ela se destaca por seu jeito perseverante e teimoso em suas escolhas. Por ser sensitiva, vê coisas que mais ninguém vê. Quando ela conhece Caruana, uma figura encantada que encontra na floresta, ela se apaixona e começa a entrar em um grande conflito com sua família, que a julga louca.", Scena Filmes,Drama,07/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/20171116-encantados-papo-de-cinema-cartaz.jpg?itok=8mJOaeXe
A repartição do tempo,"
	Num lugar esquecido da vasta burocracia brasileira, um chefe psicótico usa uma máquina do tempo para duplicar seu quadro de funcionários e aumentar a produtividade da repartição.",400 Filmes,Comédia,25/01/2018,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/A%20reparticao%20do%20tempo.jpg?itok=qB4XsxBe
Câmara de Espelhos,"
	Construída dentro de uma caixa preta, uma sala de estar recebe homens variados e coloca-os diante do espelho social. O que nos dizem da imagem feminina que se apresenta? E nós? Onde estamos? Dentro, fora ou no limite da caixa?",Alumia Conteúdo,Documentário,30/11/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/camaradeespelhos.jpg?itok=1CxFRhq3
Corpo delito,"
	O documentário cearense aborda a questão da imagem e o crime, tentando transmitir a experiência de como produzir novas imagens sobre esse tema. Para isso, o filme acompanha a rotina de Ivan, um homem inconformado, pois mesmo depois de ganhar o direito de sair da cadeia, continua preso a uma tornozeleira eletrônica.  ",Corpo Aberto,Documentário,07/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/20170222-poster-corpo-delito-papo-de-cinema.jpg?itok=MimSolz-
A imagem da tolerância,"
	Enquanto as diferentes crenças religiosas tendem a nos separar e dividir, a imagem da Nossa Senhora de Aparecida é como o seu manto, cobrindo e protegendo o corpo dos seus fiéis. Aparecida tem como devotos pessoas de qualquer classe social, religião e lugar do país. Aparecida é símbolo de coração materno, de bondade e da tolerância. Todos cabem embaixo do manto da mãe. Aparecida vai além da igreja que ela representa, ela transcende as diferenças, todos se sentem acolhidos em sua casa. O filme é construído por diferentes personagens que tem histórias emocionantes, relevantes e particulares sobre a fé em Aparecida.",Mar Filmes,Documentário,07/12/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/A%20imagem%20da%20tolerancia.jpg?itok=W2arcrtx
